ODS_CODE,Trust_Name,NHS_Region,ICB_Name,Total_Cost_GBP,Total_Qty_mL,Total_Vials,Months_Active,First_Month,Last_Month,Trust_Postcode,Avg_Monthly_Cost,Cost_Rank
RRK,Unknown Trust,Midlands,Unknown ICB,9418003.03,1190064.0,73532.0,82,2019-04-01,2026-01-01,B15 2TH,114854.0,1
R0A,Manchester University NHS Foundation Trust,North West,Unknown ICB,7487625.14,933800.5,59910.2,82,2019-04-01,2026-01-01,M13 9WL,91313.0,2
RTH,Unknown Trust,South East,Unknown ICB,6868725.57,878604.0,49934.0,82,2019-04-01,2026-01-01,OX3 9DU,83765.0,3
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,London,Unknown ICB,5760761.88,713672.0,45653.0,82,2019-04-01,2026-01-01,W2 1BL,70253.0,4
RDU,Unknown Trust,South East,Unknown ICB,5668256.99,711960.0,41931.0,82,2019-04-01,2026-01-01,GU14 0AS,69125.0,5
RJZ,King's College Hospital NHS Foundation Trust,London,Unknown ICB,5464325.13,689783.16,40549.9,82,2019-04-01,2026-01-01,SE5 9RS,66638.0,6
RJ1,Unknown Trust,London,Unknown ICB,5394236.39,669920.0,43778.3,82,2019-04-01,2026-01-01,SE1 7EH,65783.0,7
RTG,Unknown Trust,Midlands,Unknown ICB,4937098.61,617688.0,37361.0,82,2019-04-01,2026-01-01,DE22 3NE,60209.0,8
RJ2,LEWISHAM AND GREENWICH NHS TRUST,London,Unknown ICB,4855595.07,607850.0,36303.0,82,2019-04-01,2026-01-01,SE13 6LH,59215.0,9
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,London,Unknown ICB,4697823.89,592694.0,34414.0,82,2019-04-01,2026-01-01,HA1 3UJ,57291.0,10
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,Midlands,Unknown ICB,4519632.3,566112.0,34678.0,82,2019-04-01,2026-01-01,NG7 2UH,55117.0,11
RXL,Unknown Trust,North West,Unknown ICB,4137412.3,519870.0,30672.0,82,2019-04-01,2026-01-01,FY2 0JH,50456.0,12
RM1,Unknown Trust,London,Unknown ICB,4135799.25,510174.0,32525.0,82,2019-04-01,2026-01-01,CR7 7YE,50437.0,13
RQM,Unknown Trust,London,Unknown ICB,3931359.67,497296.0,28694.0,82,2019-04-01,2026-01-01,SW3 6NP,47943.0,14
RDE,Unknown Trust,East of England,Unknown ICB,3928451.37,501180.0,29777.0,82,2019-04-01,2026-01-01,CO4 5JL,47908.0,15
RAJ,Unknown Trust,East of England,Unknown ICB,3684689.14,451344.0,29475.0,82,2019-04-01,2026-01-01,SS0 0RY,44935.0,16
REM,Unknown Trust,South East,Unknown ICB,3580572.13,452283.0,26243.1,82,2019-04-01,2026-01-01,RG12 8RS,43666.0,17
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,South West,Unknown ICB,3556194.32,446640.0,27798.0,82,2019-04-01,2026-01-01,PL6 8DH,43368.0,18
RHQ,Unknown Trust,North East & Yorkshire,Unknown ICB,3417364.03,428698.0,25591.0,82,2019-04-01,2026-01-01,S10 2JF,41675.0,19
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,Midlands,Unknown ICB,3223605.83,412054.0,23048.0,82,2019-04-01,2026-01-01,CV2 2DX,39312.0,20
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,Midlands,Unknown ICB,3140065.21,398290.0,22723.0,82,2019-04-01,2026-01-01,B66 2QT,38293.0,21
R1H,BARTS HEALTH NHS TRUST,London,Unknown ICB,2805591.97,330362.0,24668.0,82,2019-04-01,2026-01-01,E1 2ES,34215.0,22
RCX,Unknown Trust,North West,Unknown ICB,2749054.0,341634.0,26115.0,82,2019-04-01,2026-01-01,CH63 4JY,33525.0,23
RH5,Somerset NHS Foundation Trust,South West,Unknown ICB,2748738.57,356752.0,18547.0,82,2019-04-01,2026-01-01,TA1 5DA,33521.0,24
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,South West,Unknown ICB,2701672.32,341180.0,20516.0,82,2019-04-01,2026-01-01,TR1 3LJ,32947.0,25
RN7,DARTFORD AND GRAVESHAM NHS TRUST,London,Unknown ICB,2634794.44,337640.0,18598.0,82,2019-04-01,2026-01-01,DA2 8DA,32132.0,26
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,Midlands,Unknown ICB,2629033.76,341234.0,17846.0,82,2019-04-01,2026-01-01,NN1 5BD,32061.0,27
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,North West,Unknown ICB,2566173.78,319660.0,19500.0,82,2019-04-01,2026-01-01,LA14 4LF,31295.0,28
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,North West,Unknown ICB,2553056.87,320852.0,19682.0,82,2019-04-01,2026-01-01,BB2 3HH,31135.0,29
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,Midlands,Unknown ICB,2528611.71,299276.0,22286.0,82,2019-04-01,2026-01-01,WV10 0QP,30837.0,30
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,North East & Yorkshire,Unknown ICB,2491944.99,317804.0,17762.0,82,2019-04-01,2026-01-01,SY3 8XQ,30390.0,31
RWY,Calderdale and Huddersfield NHS Foundation Trust,North East & Yorkshire,Unknown ICB,2479742.64,313790.0,18337.0,82,2019-04-01,2026-01-01,HX3 0PW,30241.0,32
RPA,Unknown Trust,London,Unknown ICB,2475302.27,317440.0,17454.0,82,2019-04-01,2026-01-01,RM7 0AG,30187.0,33
RXN,Unknown Trust,North West,Unknown ICB,2462297.25,315228.0,17668.0,82,2019-04-01,2026-01-01,PR2 9HT,30028.0,34
RVJ,NORTH BRISTOL NHS TRUST,South West,Unknown ICB,2435136.08,307220.0,19516.0,82,2019-04-01,2026-01-01,BS10 5NB,29697.0,35
RC9,Unknown Trust,South East,Unknown ICB,2415554.38,305672.0,17946.0,82,2019-04-01,2026-01-01,ME20 7NH,29458.0,36
RQX,Homerton Healthcare NHS Foundation Trust,London,Unknown ICB,2343971.9,306520.0,15597.0,82,2019-04-01,2026-01-01,E9 6SR,28585.0,37
RRV,Unknown Trust,London,Unknown ICB,2294691.55,286690.0,17164.0,74,2019-12-01,2026-01-01,W12 0HS,31009.0,38
RWJ,Unknown Trust,London,Unknown ICB,2279002.49,282430.0,17574.0,82,2019-04-01,2026-01-01,SE5 9RS,27793.0,39
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,Midlands,Unknown ICB,2256248.07,282112.0,16918.0,82,2019-04-01,2026-01-01,WR5 1DD,27515.0,40
RGN,Unknown Trust,London,Unknown ICB,2181548.52,262028.0,19631.0,82,2019-04-01,2026-01-01,WC1N 3BG,26604.0,41
RJ7,Unknown Trust,London,Unknown ICB,2125153.17,267774.0,16385.0,82,2019-04-01,2026-01-01,SM5 1AA,25917.0,42
RJR,Unknown Trust,North West,Unknown ICB,2105780.7,261068.0,16418.0,82,2019-04-01,2026-01-01,CW1 4QJ,25680.0,43
RMC,Unknown Trust,North West,Unknown ICB,2090460.4,264664.0,15258.0,82,2019-04-01,2026-01-01,BL4 0JR,25493.0,44
RAL,Unknown Trust,London,Unknown ICB,2027708.27,254620.0,15067.0,82,2019-04-01,2026-01-01,NW3 2QG,24728.0,45
RTD,Unknown Trust,North East & Yorkshire,Unknown ICB,1981277.01,247598.0,15903.0,82,2019-04-01,2026-01-01,NE1 4LP,24162.0,46
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,London,Unknown ICB,1969059.25,241574.0,16048.0,82,2019-04-01,2026-01-01,SM5 1AA,24013.0,47
RTF,Unknown Trust,North West,Unknown ICB,1961678.77,237392.0,16625.0,77,2019-04-01,2025-12-01,WN1 2NN,25476.0,48
RNQ,Unknown Trust,Midlands,Unknown ICB,1907214.33,247480.0,12972.0,82,2019-04-01,2026-01-01,NN15 6UD,23259.0,49
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,North East & Yorkshire,Unknown ICB,1901904.04,235434.0,15960.0,82,2019-04-01,2026-01-01,LS9 7TF,23194.0,50
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,Midlands,Unknown ICB,1842454.01,229936.0,13882.0,82,2019-04-01,2026-01-01,CV10 7DJ,22469.0,51
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,East of England,Unknown ICB,1837010.66,224960.0,14852.0,82,2019-04-01,2026-01-01,CM20 1QX,22403.0,52
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,North West,Unknown ICB,1810123.27,226076.0,13791.0,82,2019-04-01,2026-01-01,L35 5DR,22075.0,53
RAS,Unknown Trust,London,Unknown ICB,1797307.04,202800.0,16823.0,82,2019-04-01,2026-01-01,KT22 8SD,21918.0,54
RNN,Unknown Trust,Midlands,Unknown ICB,1780513.76,214650.0,14542.0,76,2019-10-01,2026-01-01,NN1 5BD,23428.0,55
RRF,Unknown Trust,North West,Unknown ICB,1725765.47,219330.0,12513.0,82,2019-04-01,2026-01-01,WA9 3DA,21046.0,56
RJ6,CROYDON HEALTH SERVICES NHS TRUST,London,Unknown ICB,1717349.84,222904.0,14085.0,82,2019-04-01,2026-01-01,CR7 7YE,20943.0,57
RFF,Unknown Trust,Midlands,Unknown ICB,1709256.54,185682.0,17472.0,82,2019-04-01,2026-01-01,NG5 1PB,20845.0,58
RVW,Unknown Trust,North East & Yorkshire,Unknown ICB,1660264.45,199674.0,14417.0,82,2019-04-01,2026-01-01,NE29 8NH,20247.0,59
RA7,Unknown Trust,South West,Unknown ICB,1627842.55,200682.0,13394.0,82,2019-04-01,2026-01-01,BS16 1EW,19852.0,60
RWW,Unknown Trust,South East,Unknown ICB,1618934.17,207690.0,11347.0,82,2019-04-01,2026-01-01,RG1 5AN,19743.0,61
RTE,Somerset Partnership NHS Foundation Trust (legacy),South West,Unknown ICB,1618214.55,201736.0,13403.0,81,2019-04-01,2026-01-01,TA6 4QA,19978.0,62
RFR,Unknown Trust,North East & Yorkshire,Unknown ICB,1613248.68,202690.0,12065.0,82,2019-04-01,2026-01-01,DN2 5LT,19674.0,63
RGR,Unknown Trust,East of England,Unknown ICB,1579144.71,201100.0,11403.0,76,2019-04-01,2026-01-01,SS2 5XX,20778.0,64
RCF,Unknown Trust,North East & Yorkshire,Unknown ICB,1552001.08,193854.0,11815.0,82,2019-04-01,2026-01-01,LS29 6AS,18927.0,65
RP5,Unknown Trust,South West,Unknown ICB,1548303.09,197246.0,11625.0,82,2019-04-01,2026-01-01,DT1 2JY,18882.0,66
RMP,Unknown Trust,North West,Unknown ICB,1513016.85,190940.0,11106.0,82,2019-04-01,2026-01-01,SK10 3BL,18451.0,67
RAE,Unknown Trust,North East & Yorkshire,Unknown ICB,1438067.6,160600.0,15089.0,82,2019-04-01,2026-01-01,LS9 7TF,17537.0,68
RD8,Unknown Trust,East of England,Unknown ICB,1432431.67,186136.0,9922.0,82,2019-04-01,2026-01-01,MK18 1QS,17469.0,69
RGP,Unknown Trust,South East,Unknown ICB,1427397.77,177876.0,11148.0,82,2019-04-01,2026-01-01,GU51 4AW,17407.0,70
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,Midlands,Unknown ICB,1396045.52,160566.0,13360.0,82,2019-04-01,2026-01-01,ST4 6QG,17025.0,71
RBK,WALSALL HEALTHCARE NHS TRUST,Midlands,Unknown ICB,1373649.2,175140.0,9788.0,82,2019-04-01,2026-01-01,WS2 9PS,16752.0,72
RLQ,WYE VALLEY NHS TRUST,Midlands,Unknown ICB,1357479.42,171510.0,9911.0,82,2019-04-01,2026-01-01,HR1 2ER,16555.0,73
RJC,Unknown Trust,London,Unknown ICB,1270410.92,161270.0,9086.0,82,2019-04-01,2026-01-01,KT6 7QU,15493.0,74
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,South East,Unknown ICB,1255652.26,163540.0,8833.0,82,2019-04-01,2026-01-01,PO6 3LY,15313.0,75
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,South East,Unknown ICB,1226562.65,155026.0,8777.0,82,2019-04-01,2026-01-01,TN37 7PT,14958.0,76
RNZ,Unknown Trust,South East,Unknown ICB,1225772.92,152384.0,9434.0,82,2019-04-01,2026-01-01,SO16 6YD,14948.0,77
RA2,Unknown Trust,South East,Unknown ICB,1222783.44,155860.0,8774.0,82,2019-04-01,2026-01-01,GU2 7XX,14912.0,78
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,London,Unknown ICB,1199281.95,149476.0,9405.0,69,2019-04-01,2024-12-01,N18 1QX,17381.0,79
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,London,Unknown ICB,1077442.86,136292.0,7795.0,82,2019-04-01,2026-01-01,WD18 0HB,13140.0,80
RR7,North West Boroughs Healthcare NHS Foundation Trust,North West,Unknown ICB,1071043.35,117390.0,10720.0,82,2019-04-01,2026-01-01,WA9 3DA,13062.0,81
RKE,WHITTINGTON HEALTH NHS TRUST,London,Unknown ICB,1057438.08,135380.0,7574.0,82,2019-04-01,2026-01-01,N19 5NF,12896.0,82
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,Midlands,Unknown ICB,1029355.4,110500.0,11904.0,82,2019-04-01,2026-01-01,LE1 5WW,12553.0,83
RHW,Unknown Trust,South East,Unknown ICB,1009017.95,119548.0,9447.0,82,2019-04-01,2026-01-01,RG1 5AN,12305.0,84
RM3,Unknown Trust,London,Unknown ICB,986535.75,108772.0,9573.0,61,2019-06-01,2026-01-01,NW3 2PF,16173.0,85
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,South East,Unknown ICB,969282.78,121330.0,7280.0,82,2019-04-01,2026-01-01,RH1 5RH,11821.0,86
